question,answer
"Quels sont les documents pour un divorce ?", "Vous devez fournir l'acte de mariage, CIN, justificatifs."
"ما هي شروط الطلاق؟", "يتم الطلاق عبر المحكمة في تونس، ويجب وجود مبررات قانونية."
"What is child custody law?", "Child custody is granted based on best interest of the child by a family judge."
question,answer
Quels sont les documents nécessaires pour demander un divorce ?,Il faut l’acte de mariage, les pièces d’identité, les preuves de conflit, et un certificat de conciliation si disponible.
ما هي إجراءات الطلاق في تونس؟,يجب تقديم قضية أمام المحكمة مع وجود مبررات، ويجب حضور جلسات المصالحة.
How to file a complaint against someone in Tunisia?,You must file a complaint at the local police station or through the prosecutor with supporting evidence.
كيف يتم تقسيم الميراث حسب القانون التونسي؟,يتم تقسيم التركة حسب الشريعة الإسلامية مع مراعاة النسب المحددة في القانون.
Quels sont les frais pour une consultation juridique ?,Les honoraires sont variables selon la nature du dossier. Merci de contacter le cabinet pour un devis.
I want to schedule a meeting with Maître Hila,Please provide your full name, phone number, and preferred time. We will confirm availability.
هل يمكنني رفع قضية بدون محامي؟,نعم، لكن يُنصح بالاستعانة بمحامي لضمان حسن التمثيل القانوني.
Quels types de dossiers traitez-vous ?,Nous traitons les affaires familiales, civiles, commerciales, et les contentieux administratifs.
How long does a divorce process take in Tunisia?,It typically takes between 3 to 6 months depending on the case complexity.
هل يمكن الطعن في حكم المحكمة؟,نعم، يمكن تقديم استئناف خلال الآجال القانونية المحددة (عادة 10 إلى 20 يومًا).
Quelle est la procédure pour obtenir la garde des enfants ?,Il faut présenter une requête au juge de la famille avec les justificatifs nécessaires.
ما هي حقوق الزوجة بعد الطلاق؟,يحق لها النفقة والسكن إذا كانت لديها حضانة، وحقوقها المالية حسب الاتفاق أو حكم المحكمة.
How can I verify the status of my file?,Please provide your file number or full name and we will check it for you.
هل يتم توكيل محامي بوكالة رسمية؟,نعم، يمكن توكيل محامي عن طريق وكالة رسمية من البلدية أو عن طريق عدل إشهاد.
Peut-on consulter sans rendez-vous ?,Les consultations sont sur rendez-vous uniquement pour garantir un meilleur service.
How do I cancel an appointment?,Please send a message or call us at least 24 hours in advance.
ما هي أنواع القضايا التي تعالجونها؟,نعالج القضايا المدنية، الطلاق، الإرث، الشغل، العقود، القضايا العقارية، وغيرها.
Quel est le délai pour obtenir un jugement ?,Cela dépend du tribunal et du type de dossier. En général, cela peut prendre plusieurs mois.
What documents are needed to open a company?,You will need your ID, a business plan, a company name, and to register at the one-stop shop (API).
هل يتم توثيق العقود لدى المحامي؟,نعم، يمكن للمحامي صياغة وتوثيق العقود، لكن يجب تسجيلها لدى الجهات المختصة لاحقاً.
